Year,Population,Workers,Food Storage,Food Generated,Spoiled,Famine,Births,Twins,MiscarriageBirth Rate,Pregnant CNT,Deaths,Natural,Sickness,Murdered,Starved,Death Rate
1,3,2,997,3,0,0,1,0,0,33.33,0,0,0,0,0,0,0
2,4,2,991,3,0,0,1,0,0,25.0,0,0,0,0,0,0,0
3,5,2,1982,3,0,0,1,0,0,20.0,0,0,0,0,0,0,0
4,6,2,1970,3,0,0,1,0,0,16.67,0,0,0,0,0,0,0
5,6,2,1955,3,0,0,1,0,0,16.67,0,1,0,1,0,0,16.67
6,7,2,1940,3,0,0,1,0,0,14.29,0,0,0,0,0,0,0
7,8,2,1922,3,0,0,1,0,0,12.5,0,0,0,0,0,0,0
8,9,2,1901,3,0,0,1,0,0,11.11,0,0,0,0,0,0,0
9,10,2,1877,3,0,0,1,0,0,10.0,0,0,0,0,0,0,0
10,11,2,1850,3,0,0,1,0,0,9.09,0,0,0,0,0,0,0
11,11,3,1822,5,0,0,1,0,0,9.09,0,1,0,1,0,0,9.09
12,12,4,1796,7,0,0,1,0,0,8.33,0,0,0,0,0,0,0
13,12,5,1769,9,0,0,1,0,0,8.33,0,1,0,1,0,0,8.33
14,13,6,1744,11,0,0,1,0,0,7.69,0,0,0,0,0,0,0
15,14,7,1718,13,0,0,1,0,0,7.14,0,0,0,0,0,0,0
16,15,8,1691,15,0,0,1,0,0,6.67,0,0,0,0,0,0,0
17,15,9,1663,17,0,0,1,0,0,6.67,0,1,0,1,0,0,6.67
18,16,9,1635,17,0,0,1,0,0,6.25,0,0,0,0,0,0,0
19,17,10,1606,19,0,0,1,0,0,5.88,0,0,0,0,0,0,0
20,18,11,1576,21,0,0,1,0,0,5.56,0,0,0,0,0,0,0
21,18,11,1543,21,0,0,1,0,0,5.56,0,1,0,1,0,0,5.56
22,18,10,1508,19,0,0,1,0,0,5.56,0,1,0,1,0,0,5.56
23,19,10,1473,19,0,0,1,0,0,5.26,0,0,0,0,0,0,0
24,20,11,1437,21,0,0,1,0,0,5.0,1,0,0,0,0,0,0
25,22,12,1400,23,0,0,2,0,0,9.09,0,0,0,0,0,0,0
26,24,13,1359,25,0,0,2,0,0,8.33,0,0,0,0,0,0,0
27,25,14,1314,27,0,0,2,0,0,8.0,0,1,0,1,0,0,4.0
28,27,14,1266,27,0,0,2,0,0,7.41,0,0,0,0,0,0,0
29,28,15,1214,29,0,0,1,0,1,3.57,0,0,0,0,0,0,0
30,30,16,1161,31,0,0,2,0,0,6.67,0,0,0,0,0,0,0
31,32,17,1104,33,0,0,3,1,0,9.38,0,1,0,1,0,0,3.12
32,33,18,1043,35,0,0,2,0,0,6.06,1,1,0,1,0,0,3.03
33,36,19,981,37,0,0,3,0,0,8.33,0,0,0,0,0,0,0
34,38,20,912,39,0,0,3,0,0,7.89,0,1,0,1,0,0,2.63
35,41,21,1838,40,0,0,3,0,0,7.32,0,0,0,0,0,0,0
36,43,23,1759,44,0,0,3,0,0,6.98,0,1,0,1,0,0,2.33
37,46,25,1678,48,0,0,3,0,0,6.52,0,0,0,0,0,0,0
38,46,26,1590,50,0,0,2,0,1,4.35,0,2,0,2,0,0,4.35
39,49,26,1502,50,0,0,3,0,0,6.12,0,0,0,0,0,0,0
40,51,29,1411,56,0,0,4,1,0,7.84,0,2,0,2,0,0,3.92
41,52,29,1314,56,0,0,3,0,0,5.77,0,2,0,2,0,0,3.85
42,53,31,1218,60,0,0,3,0,0,5.66,2,2,0,2,0,0,3.77
43,58,32,1121,62,0,0,5,0,0,8.62,1,0,0,0,0,0,0
44,63,34,1013,66,0,0,7,1,0,11.11,0,2,0,2,0,0,3.17
45,67,35,892,68,0,0,5,0,1,7.46,0,1,0,1,0,0,1.49
46,74,37,1763,72,0,0,7,1,0,9.46,1,0,0,0,0,0,0
47,80,39,1617,76,0,0,7,0,0,8.75,0,1,0,1,0,0,1.25
48,84,41,1456,79,0,0,6,0,1,7.14,0,2,0,2,0,0,2.38
49,89,44,1289,85,0,0,7,0,0,7.87,0,2,0,2,0,0,2.25
50,94,45,1109,87,0,0,5,0,2,5.32,0,0,0,0,0,0,0
51,97,48,920,93,0,0,6,0,1,6.19,0,3,0,3,0,0,3.09
52,103,52,730,101,0,0,7,0,0,6.8,0,1,0,1,0,0,0.97
53,108,58,1534,113,0,0,5,0,2,4.63,0,0,0,0,0,0,0
54,112,62,1330,120,0,0,6,0,1,5.36,1,2,0,2,0,0,1.79
55,119,65,852,126,1,0,8,0,0,6.72,0,1,0,1,0,0,0.84
56,127,71,1633,138,0,0,8,0,0,6.3,0,0,0,0,0,0,0
57,132,77,1402,150,0,0,8,0,0,6.06,0,3,0,3,0,0,2.27
58,135,82,1165,159,0,0,7,0,1,5.19,1,4,0,4,0,0,2.96
59,139,85,730,165,1,0,9,0,0,6.47,0,5,0,5,0,0,3.6
60,146,85,1099,165,0,1,9,0,0,6.16,0,2,0,2,0,0,1.37
61,154,92,840,179,0,0,8,0,1,5.19,0,0,0,0,0,0,0
62,158,96,565,187,0,0,7,0,2,4.43,0,3,0,3,0,0,1.9
63,165,99,1284,193,0,0,9,0,0,5.45,1,2,0,2,0,0,1.21
64,173,105,993,204,0,0,11,1,0,6.36,1,3,0,3,0,0,1.73
65,184,110,688,214,0,0,11,0,0,5.98,1,0,0,0,0,0,0
66,194,116,1362,226,0,0,12,0,0,6.19,0,2,0,2,0,0,1.03
67,207,123,738,239,1,0,13,1,0,6.28,2,0,0,0,0,0,0
68,218,130,1370,253,0,0,14,0,0,6.42,2,3,0,3,0,0,1.38
69,228,138,658,269,0,1,16,1,1,7.02,5,6,0,6,0,0,2.63
70,245,141,1248,274,0,0,20,2,2,8.16,2,3,1,2,0,0,1.22
71,260,145,795,282,0,0,22,1,1,8.46,0,7,0,7,0,0,2.69
72,276,151,309,294,0,0,21,1,1,7.61,3,5,0,5,0,0,1.81
73,293,157,464,306,0,1,22,0,2,7.51,1,5,0,5,0,0,1.71
74,308,164,904,319,0,0,25,1,1,8.12,1,10,1,9,0,0,3.25
75,323,169,309,329,0,0,21,0,4,6.5,1,6,0,6,0,0,1.86
76,346,180,424,351,1,0,27,2,1,7.8,1,4,0,4,0,0,1.16
77,364,190,756,370,0,0,24,0,3,6.59,2,6,0,6,0,0,1.65
78,386,202,57,393,0,0,27,0,2,6.99,0,5,0,5,0,0,1.3
79,410,218,28,425,0,1,27,1,3,6.59,0,3,0,3,0,0,0.73
80,428,235,779,458,0,1,26,0,2,6.07,2,8,2,6,0,0,1.87
81,443,248,582,483,0,1,27,0,3,6.09,0,12,0,12,0,0,2.71
82,467,260,646,507,0,0,29,0,1,6.21,1,5,0,5,0,0,1.07
83,495,280,725,546,0,0,31,2,2,6.26,2,3,1,2,0,0,0.61
84,520,295,805,575,0,0,32,0,1,6.15,2,7,1,6,0,0,1.35
85,543,310,1000,604,1,0,32,0,2,5.89,3,9,1,8,0,0,1.66
86,572,329,12,641,0,0,36,0,1,6.29,3,7,0,7,0,0,1.22
87,590,349,1120,680,0,0,33,0,6,5.59,2,15,1,14,0,0,2.54
88,619,365,61,711,0,0,36,0,5,5.82,4,7,0,7,0,0,1.13
89,653,384,1190,748,0,0,46,2,1,7.04,4,12,1,11,0,0,1.84
90,687,403,1058,785,1,0,46,0,3,6.7,5,12,0,12,0,0,1.75
91,730,424,1197,826,0,0,51,2,4,6.99,3,8,1,7,0,0,1.1
92,774,442,1328,861,0,0,57,3,1,7.36,0,13,1,12,0,0,1.68
93,805,459,1449,895,0,0,54,2,3,6.71,2,23,1,22,0,0,2.86
94,841,476,1097,928,0,1,54,3,6,6.42,1,18,1,17,0,0,2.14
95,878,504,1238,982,0,0,57,2,2,6.49,6,20,2,18,0,0,2.28
96,922,523,1379,1019,0,0,58,0,5,6.29,3,14,0,14,0,0,1.52
97,971,540,1510,1053,0,0,68,3,1,7.0,3,19,1,18,0,0,1.96
98,1014,569,1648,1109,0,0,65,2,5,6.41,4,22,0,22,0,0,2.17
99,1055,599,1802,1168,0,0,60,0,12,5.69,2,19,0,19,0,0,1.8
100,1113,629,1973,1226,0,0,70,1,5,6.29,3,12,0,12,0,0,1.08
